記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
927,傑1,438/1200,0.1997,0.1754,0.3444,0.0435,0.1036,0.5686,0.2707,0.2488,12.662,7772,5949,2.602,0.1273,0.4869,0.1491,0.1116,3130,8873,6839,0.7323000000000001,0.2677,0.1909,10.134,0.12029999999999999,0.23550000000000001,0.026600000000000002,0.6953,0.38060000000000005,豪1,1465/2800,5,0.342,0.1,10426,0.2115,0.287,0.1859,0.258,0.1246,1552,1043,509,-113,9220,0.6066135202804207,0.34972759138708065,0.0435
684,傑3,1081/2000,0.2503,0.1703,0.3221,0.047599999999999996,0.0859,0.6531,0.3583,0.2532,12.322,6665,6014,2.518,0.0965,0.48590000000000005,0.1446,0.11130000000000001,2759,8017,6792,0.7579,0.2421,0.1905,9.861,0.1245,0.21489999999999998,0.0092,0.7608,0.4378,豪1,2010/2800,6,0.3046,0.09480000000000001,10320,0.215,0.37200000000000005,0.17679999999999998,0.322,0.0766,1669,1024,645,73,6883,0.4915296843787455,0.4609372752696763,0.04759999999999999
419,豪1,1092/2800,0.21350000000000002,0.12990000000000002,0.3003,0.1661,0.1091,0.4878,0.24480000000000002,0.19260000000000002,12.414,7078,5436,2.389,0.054900000000000004,0.5183,0.1274,0.0958,3330,8209,6071,0.8008,0.19920000000000002,0.1892,9.926,0.1185,0.22870000000000001,0.0151,0.7212999999999999,0.4515,豪2,1997/3200,4,0.3552,0.0888,11727,0.1888,0.24670000000000003,0.131,0.3194,0.1121,1511,706,805,157,4117,0.46756243559718963,0.3662253864168618,0.16609999999999997
426,豪1,810/2800,0.1985,0.1249,0.33640000000000003,0.08779999999999999,0.12179999999999999,0.43310000000000004,0.2952,0.1962,12.319,7221,5286,2.418,0.0634,0.5225,0.1246,0.0946,3524,8677,6974,0.8328,0.1672,0.2284,9.822,0.1257,0.21850000000000003,0.015,0.7186,0.436,豪1,2532/2800,4,0.29359999999999997,0.07150000000000001,10424,0.1957,0.2953,0.125,0.2661,0.13269999999999998,1433,660,773,135,4418,0.5164458438287153,0.3957315869017632,0.08779999999999999
519,豪1,1506/2800,0.2322,0.1464,0.3045,0.0765,0.102,0.5094,0.2933,0.2322,12.358,6604,5916,2.472,0.08289999999999999,0.5292,0.14400000000000002,0.10039999999999999,3044,7972,6988,0.7737,0.2263,0.2,9.948,0.10369999999999999,0.2208,0.0132,0.7753,0.47979999999999995,豪1,1792/2800,7,0.3281,0.08960000000000001,10631,0.2285,0.3003,0.14980000000000002,0.3121,0.10289999999999999,1533,866,667,76,5233,0.5292,0.3942245047372954,0.0765
393,傑2,201/1400,0.2004,0.1423,0.3125,0.0625,0.1199,0.4458,0.342,0.17920000000000003,12.328,6852,5725,2.547,0.0789,0.4946,0.1304,0.11019999999999999,3188,8701,7497,0.8078,0.19219999999999998,0.22039999999999998,9.500,0.1331,0.231,0.0054,0.664,0.4046,豪1,1834/2800,6,0.3261,0.1045,10465,0.1641,0.36719999999999997,0.1528,0.2901,0.1099,1373,815,558,-125,4152,0.44227704590818373,0.49508083832335337,0.0625
850,傑3,1629/2000,0.21780000000000002,0.1532,0.3218,0.0766,0.10800000000000001,0.48710000000000003,0.33740000000000003,0.20989999999999998,12.535,7101,5689,2.467,0.0824,0.4818,0.15839999999999999,0.1198,2770,8438,7079,0.7693000000000001,0.23070000000000002,0.2053,9.932,0.1164,0.2245,0.0132,0.6992,0.43320000000000003,豪2,2178/3200,5,0.3425,0.09630000000000001,10702,0.2169,0.33409999999999995,0.1517,0.2963,0.11289999999999999,1546,872,674,49,8633,0.4643242424242423,0.45900651974288337,0.0766
253,豪1,1545/2800,0.2232,0.15109999999999998,0.3179,0.0661,0.1008,0.5059,0.3691,0.18170000000000003,12.506,6917,5672,2.498,0.083,0.557,0.1294,0.1075,3383,7770,6475,0.8355,0.16449999999999998,0.18420000000000003,9.441,0.1184,0.20079999999999998,0.011000000000000001,0.7785,0.5065999999999999,豪1,1997/2800,4,0.3268,0.10279999999999999,10736,0.1557,0.38520000000000004,0.1577,0.2905,0.1048,1544,857,687,59,2509,0.45343593189964165,0.4803922491039425,0.0661
112,傑1,425/1200,0.2377,0.1685,0.2691,0.0073,0.0873,0.4752,0.395,0.2273,12.357,6079,6003,2.679,0.09820000000000001,0.5019,0.11410000000000001,0.0837,2817,7489,6270,0.7490000000000001,0.251,0.2357,9.667,0.0951,0.1818,0.011399999999999999,0.635,0.2852,傑1,1055/1200,4,0.25,0.09720000000000001,10663,0.15380000000000002,0.45640000000000003,0.19469999999999998,0.3085,0.07440000000000001,1445,1012,433,-216,1157,0.4799405553218344,0.5126525031552378,0.0073
406,豪1,1727/2800,0.225,0.1495,0.3245,0.04650000000000001,0.10439999999999999,0.5179,0.32539999999999997,0.2262,12.437,6740,5671,2.426,0.10339999999999999,0.5286,0.1476,0.1134,2899,7735,7288,0.8249,0.1751,0.2192,9.461,0.11449999999999999,0.17079999999999998,0.0077,0.6861,0.42729999999999996,豪1,2119/2800,6,0.3104,0.0955,10425,0.22329999999999997,0.31170000000000003,0.1432,0.2917,0.1057,1516,848,669,78,4014,0.5314192,0.42186302222222216,0.04650000000000001
